time,seconds_elapsed,z,y,x
1773573116585054200,0.22005419921875,0.0033288532868027687,0.0033288532868027687,-0.002929390873759985
1773573116605381000,0.240381103515625,0.0011983871227130294,0.005459319334477186,-0.0061250897124409676
1773573116615520300,0.250520263671875,0.0011983871227130294,0.004394086077809334,-0.0050598569214344025
1773573116625687000,0.26068701171875,0.0011983871227130294,0.0033288532868027687,-0.0061250897124409676
1773573116635815400,0.2708154296875,0.0011983871227130294,0.0033288532868027687,-0.0061250897124409676
1773573116645966600,0.280966552734375,0.0011983871227130294,0.004394086077809334,-0.0061250897124409676
1773573116656123000,0.291122802734375,0.00226362026296556,0.004394086077809334,-0.00719032296910882
1773573116666276000,0.301276123046875,0.0011983871227130294,0.004394086077809334,-0.00719032296910882
1773573116676424000,0.311423828125,0.0011983871227130294,0.006524552125483751,-0.00719032296910882
1773573116686575000,0.3215751953125,0.00226362026296556,0.006524552125483751,-0.0050598569214344025
1773573116696741000,0.3317412109375,0.0033288532868027687,0.005459319334477186,-0.00399462366476655
1773573116706898400,0.3418984375,0.0033288532868027687,0.005459319334477186,-0.00399462366476655
1773573116717021700,0.352021728515625,0.0033288532868027687,0.006524552125483751,-0.00399462366476655
1773573116727165000,0.3621650390625,0.0033288532868027687,0.006524552125483751,-0.0050598569214344025
1773573116737325300,0.3723251953125,0.0033288532868027687,0.006524552125483751,-0.00719032296910882
1773573116747475700,0.382475830078125,0.00226362026296556,0.008655018173158169,-0.0061250897124409676
1773573116757629400,0.39262939453125,0.00226362026296556,0.008655018173158169,-0.00719032296910882
1773573116767781000,0.402781005859375,0.004394086077809334,0.007589785382151604,-0.009320789016783237
1773573116777923800,0.412923828125,0.00226362026296556,0.008655018173158169,-0.008255556225776672
1773573116788072000,0.423072021484375,0.00226362026296556,0.008655018173158169,-0.0061250897124409676
1773573116798214700,0.433214599609375,0.00226362026296556,0.008655018173158169,-0.00399462366476655
1773573116808360400,0.4433603515625,0.00226362026296556,0.005459319334477186,-0.002929390873759985
