time,seconds_elapsed,z,y,x
1773573116625687000,0.26068701171875,0,0,0
1773573116635815400,0.2708154296875,0.0023641586303710938,-0.00448375940322876,0.004948168992996216
1773573116645966600,0.280966552734375,-0.030389785766601562,-0.005774259567260742,0.003583163022994995
1773573116656123000,0.291122802734375,-0.03362083435058594,-0.010972797870635986,-0.0005903542041778564
1773573116666276000,0.301276123046875,-0.011631965637207031,0.003286004066467285,-0.011623978614807129
1773573116676424000,0.311423828125,0.0062007904052734375,0.003333747386932373,-0.009155988693237305
1773573116686575000,0.3215751953125,0.009364128112792969,0.01970994472503662,-0.0032044649124145508
1773573116696741000,0.3317412109375,-0.004422187805175781,-0.0033470988273620605,0.001837402582168579
1773573116706898400,0.3418984375,-0.008234024047851562,-0.002613961696624756,0.014860540628433228
1773573116717021700,0.352021728515625,-0.011771202087402344,-0.006297588348388672,-0.016235053539276123
1773573116727165000,0.3621650390625,-0.010760307312011719,0.003446042537689209,-0.009841978549957275
1773573116737325300,0.3723251953125,0.007620811462402344,0.01699066162109375,0.00032660365104675293
1773573116747475700,0.382475830078125,-0.001880645751953125,-0.0014305710792541504,-0.003342747688293457
1773573116757629400,0.39262939453125,0.015956878662109375,-0.009553313255310059,-0.01566237211227417
1773573116767781000,0.402781005859375,0.02373790740966797,-0.012508869171142578,-0.00947803258895874
1773573116777923800,0.412923828125,-0.00028133392333984375,-0.01544344425201416,-0.017076194286346436
1773573116788072000,0.423072021484375,-0.01836681365966797,-0.00043785572052001953,-0.03781411051750183
1773573116798214700,0.433214599609375,-0.02645111083984375,-0.00455707311630249,-0.03944218158721924
1773573116808360400,0.4433603515625,-0.006954193115234375,-0.01764655113220215,-0.027797996997833252
1773573116818527700,0.45352783203125,-0.01117706298828125,0.00605243444442749,-0.012348800897598267
1773573116828682200,0.46368212890625,-0.0015573501586914062,0.0013805031776428223,-0.015815049409866333
1773573116838829800,0.473829833984375,0.007633209228515625,-0.012318551540374756,-0.028402477502822876
1773573116848981500,0.4839814453125,-0.0064411163330078125,-0.0072318315505981445,-0.013316035270690918
1773573116859132000,0.4941318359375,-0.019941329956054688,0.002319514751434326,0.005502671003341675
1773573116869283000,0.504282958984375,-0.009947776794433594,-0.002395331859588623,0.028269022703170776
1773573116879428600,0.5144287109375,0.00885009765625,-0.0023323893547058105,0.02268892526626587
1773573116889577500,0.524577392578125,-0.009920120239257812,-0.0023770928382873535,0.008228927850723267
1773573116899744800,0.534744873046875,-0.009560585021972656,0.016045808792114258,0.0034296512603759766
1773573116909901000,0.544901123046875,-0.0046176910400390625,0.01556938886642456,0.017285555601119995
1773573116920034800,0.555034912109375,0.018654823303222656,-0.0032898783683776855,0.017025411128997803
1773573116930182000,0.565181884765625,-0.009775161743164062,-0.01680392026901245,-0.0019550323486328125
1773573116940336600,0.575336669921875,-0.00019359588623046875,-0.020946979522705078,-0.0017815828323364258
1773573116950487000,0.585487060546875,0.004452705383300781,-0.006510317325592041,-0.0060610175132751465
1773573116960639500,0.595639404296875,-0.009627342224121094,-0.015639424324035645,-0.014970332384109497
1773573116970790000,0.605789794921875,0.004608154296875,-0.01987367868423462,0.008622437715530396
1773573116980933600,0.61593359375,-0.004832267761230469,0.004032611846923828,-0.0010284483432769775
1773573116991083300,0.626083251953125,0.018575668334960938,-0.005312860012054443,0.00396159291267395
1773573117001223200,0.63622314453125,0.02738189697265625,0.008994460105895996,-0.00039130449295043945
1773573117011371800,0.646371826171875,0.007991790771484375,0.023044347763061523,0.009055227041244507
1773573117021542700,0.656542724609375,-0.010919570922851562,0.027528822422027588,-0.00964471697807312
1773573117031693800,0.66669384765625,0.0032930374145507812,0.018215179443359375,0.00968429446220398
1773573117041844500,0.676844482421875,0.012502670288085938,0.009134113788604736,-0.004368424415588379
1773573117051995400,0.686995361328125,-0.01588726043701172,0.009309470653533936,-0.013412028551101685
1773573117062153500,0.697153564453125,-0.010884284973144531,-0.01401519775390625,-0.003331989049911499
1773573117072305000,0.707304931640625,0.0033578872680664062,-0.01798945665359497,0.0018246769905090332
1773573117082460200,0.717460205078125,-0.015493392944335938,-0.01720583438873291,-0.0025941431522369385
1773573117092612400,0.7276123046875,-0.010510444641113281,-0.0024911165237426758,0.007139295339584351
1773573117102762800,0.7377626953125,-0.0009403228759765625,-0.0022577643394470215,-0.020828276872634888
1773573117112914700,0.747914794921875,-0.005645751953125,-0.006625175476074219,-0.048218727111816406
1773573117123042800,0.758042724609375,-0.010239601135253906,0.007658958435058594,-0.06580808758735657
1773573117133192200,0.768192138671875,-0.014723777770996094,0.00737529993057251,-0.03634071350097656
1773573117143349000,0.778348876953125,0.009070396423339844,0.035066068172454834,-0.04042431712150574
1773573117153499400,0.78849951171875,0.004245758056640625,0.010465264320373535,-0.035257190465927124
1773573117163650000,0.798650146484375,-0.01927947998046875,0.009714484214782715,-0.0019921958446502686
1773573117173800400,0.808800537109375,-0.018896102905273438,0.013785958290100098,0.01217353343963623
1773573117183949600,0.818949462890625,-0.01851367950439453,0.01768547296524048,0.025986433029174805
1773573117194099700,0.829099609375,-0.01343536376953125,0.0261266827583313,0.0396614670753479
1773573117204264000,0.839263916015625,0.0056362152099609375,0.030035853385925293,0.053321123123168945
1773573117214415600,0.84941552734375,0.03376197814941406,0.039015352725982666,0.04342880845069885
1773573117224548600,0.859548583984375,0.05669593811035156,-0.017852306365966797,0.02920439839363098
1773573117234698200,0.8696982421875,0.008627891540527344,-0.0032508373260498047,0.010517388582229614
1773573117244841000,0.879841064453125,-0.03392314910888672,-0.003122568130493164,-0.021984398365020752
